time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
135,59.8876,3.4226085,product,JIV-01-05zg2d,25,1000.64
165,63.3964,3.4226085,product,JIV-01-05zg2d,25,946.213
195,74.6419,3.4226085,product,JIV-01-05zg2d,25,927.181
225,65.8001,3.4226085,product,JIV-01-05zg2d,25,977.316
255,77.2424,3.4226085,product,JIV-01-05zg2d,25,938.872
285,91.8585,3.4226085,product,JIV-01-05zg2d,25,947.744
315,94.1839,3.4226085,product,JIV-01-05zg2d,25,935.153
345,103.114,3.4226085,product,JIV-01-05zg2d,25,956.691
375,91.0115,3.4226085,product,JIV-01-05zg2d,25,927.71
405,98.1101,3.4226085,product,JIV-01-05zg2d,25,898.997
435,109.826,3.4226085,product,JIV-01-05zg2d,25,949.244
465,109.675,3.4226085,product,JIV-01-05zg2d,25,911.056
495,106.468,3.4226085,product,JIV-01-05zg2d,25,940.211
525,122.508,3.4226085,product,JIV-01-05zg2d,25,910.76
555,107.939,3.4226085,product,JIV-01-05zg2d,25,917.023
585,126.802,3.4226085,product,JIV-01-05zg2d,25,924.143
615,129.047,3.4226085,product,JIV-01-05zg2d,25,917.468
645,132.969,3.4226085,product,JIV-01-05zg2d,25,898.343
675,140.058,3.4226085,product,JIV-01-05zg2d,25,936.855
705,129.07,3.4226085,product,JIV-01-05zg2d,25,895.976
735,137.681,3.4226085,product,JIV-01-05zg2d,25,925.282
765,151.584,3.4226085,product,JIV-01-05zg2d,25,929.872
795,136.611,3.4226085,product,JIV-01-05zg2d,25,951.949
825,146.873,3.4226085,product,JIV-01-05zg2d,25,911.715
855,150.897,3.4226085,product,JIV-01-05zg2d,25,970.048
885,152.663,3.4226085,product,JIV-01-05zg2d,25,923.906
915,147.574,3.4226085,product,JIV-01-05zg2d,25,921.989
945,165.655,3.4226085,product,JIV-01-05zg2d,25,934.553
975,167.315,3.4226085,product,JIV-01-05zg2d,25,944.673
1005,163.262,3.4226085,product,JIV-01-05zg2d,25,892.919
1035,176.812,3.4226085,product,JIV-01-05zg2d,25,920.133
1065,180.205,3.4226085,product,JIV-01-05zg2d,25,924.957
1095,178.415,3.4226085,product,JIV-01-05zg2d,25,929.96
1125,172.526,3.4226085,product,JIV-01-05zg2d,25,951.474
1155,173.364,3.4226085,product,JIV-01-05zg2d,25,927.247
1185,192.91,3.4226085,product,JIV-01-05zg2d,25,928.166
1215,183.435,3.4226085,product,JIV-01-05zg2d,25,875.587
1245,186.764,3.4226085,product,JIV-01-05zg2d,25,905.519
1275,189.845,3.4226085,product,JIV-01-05zg2d,25,938.035
1305,164.095,3.4226085,product,JIV-01-05zg2d,25,935.575
1335,185.379,3.4226085,product,JIV-01-05zg2d,25,924.799
1365,168.458,3.4226085,product,JIV-01-05zg2d,25,925.617
1395,194.581,3.4226085,product,JIV-01-05zg2d,25,913.134
1425,192.59,3.4226085,product,JIV-01-05zg2d,25,923.826
1455,196.336,3.4226085,product,JIV-01-05zg2d,25,928.959
1485,200.259,3.4226085,product,JIV-01-05zg2d,25,895.995
1515,194.815,3.4226085,product,JIV-01-05zg2d,25,866.579
1545,184.831,3.4226085,product,JIV-01-05zg2d,25,931.473
1575,191.745,3.4226085,product,JIV-01-05zg2d,25,926.39
1605,201.947,3.4226085,product,JIV-01-05zg2d,25,883.949
1635,199.947,3.4226085,product,JIV-01-05zg2d,25,937.547
1665,197.024,3.4226085,product,JIV-01-05zg2d,25,894.494
1695,187.829,3.4226085,product,JIV-01-05zg2d,25,953.991
1725,197.172,3.4226085,product,JIV-01-05zg2d,25,961.545
1755,219.197,3.4226085,product,JIV-01-05zg2d,25,904.606
1785,206.32,3.4226085,product,JIV-01-05zg2d,25,935.475
1815,214.553,3.4226085,product,JIV-01-05zg2d,25,911.41
1845,214.085,3.4226085,product,JIV-01-05zg2d,25,918.642
1875,216.64,3.4226085,product,JIV-01-05zg2d,25,888.978
1905,201.61,3.4226085,product,JIV-01-05zg2d,25,939.353
1935,217.551,3.4226085,product,JIV-01-05zg2d,25,902
1965,206.983,3.4226085,product,JIV-01-05zg2d,25,928.93
1995,210.367,3.4226085,product,JIV-01-05zg2d,25,910.628
2025,206.02,3.4226085,product,JIV-01-05zg2d,25,941.227
2055,208.083,3.4226085,product,JIV-01-05zg2d,25,959.675
2085,214.48,3.4226085,product,JIV-01-05zg2d,25,945.956
2115,228.966,3.4226085,product,JIV-01-05zg2d,25,910.936
2145,219.435,3.4226085,product,JIV-01-05zg2d,25,907.977
2175,198.636,3.4226085,product,JIV-01-05zg2d,25,947.495
2205,211.559,3.4226085,product,JIV-01-05zg2d,25,898.814
2235,227.065,3.4226085,product,JIV-01-05zg2d,25,907.749
2265,215.861,3.4226085,product,JIV-01-05zg2d,25,920.248
2295,206.403,3.4226085,product,JIV-01-05zg2d,25,918.485
2325,209.721,3.4226085,product,JIV-01-05zg2d,25,901.452
2355,213.343,3.4226085,product,JIV-01-05zg2d,25,919.779
2385,222.876,3.4226085,product,JIV-01-05zg2d,25,942.007
2415,228.87,3.4226085,product,JIV-01-05zg2d,25,899.869
2445,221.894,3.4226085,product,JIV-01-05zg2d,25,897.397
2475,227.747,3.4226085,product,JIV-01-05zg2d,25,927.59
2505,229.298,3.4226085,product,JIV-01-05zg2d,25,936.926
2535,228.973,3.4226085,product,JIV-01-05zg2d,25,882.512
2565,238.046,3.4226085,product,JIV-01-05zg2d,25,921.494
2595,221.604,3.4226085,product,JIV-01-05zg2d,25,890.142
2625,217.962,3.4226085,product,JIV-01-05zg2d,25,952.582
2655,235.526,3.4226085,product,JIV-01-05zg2d,25,922.875
2685,223.043,3.4226085,product,JIV-01-05zg2d,25,936.034
2715,237.952,3.4226085,product,JIV-01-05zg2d,25,896.439
2745,238.808,3.4226085,product,JIV-01-05zg2d,25,927.893
2775,238.331,3.4226085,product,JIV-01-05zg2d,25,927.318
2805,223.557,3.4226085,product,JIV-01-05zg2d,25,938.937
2835,229.561,3.4226085,product,JIV-01-05zg2d,25,943.596
2865,240.903,3.4226085,product,JIV-01-05zg2d,25,911.266
2895,232.145,3.4226085,product,JIV-01-05zg2d,25,899.839
2925,241.484,3.4226085,product,JIV-01-05zg2d,25,958.496
2955,241.243,3.4226085,product,JIV-01-05zg2d,25,904.335
2985,252.646,3.4226085,product,JIV-01-05zg2d,25,903.529
3015,225.114,3.4226085,product,JIV-01-05zg2d,25,938.721
3045,253.141,3.4226085,product,JIV-01-05zg2d,25,880.266
3075,244.478,3.4226085,product,JIV-01-05zg2d,25,917.197
3105,230.662,3.4226085,product,JIV-01-05zg2d,25,921.441
3135,248.975,3.4226085,product,JIV-01-05zg2d,25,917.178
3165,234.796,3.4226085,product,JIV-01-05zg2d,25,959.27
3195,239.593,3.4226085,product,JIV-01-05zg2d,25,930.667
3225,249.071,3.4226085,product,JIV-01-05zg2d,25,935.15
3255,239.552,3.4226085,product,JIV-01-05zg2d,25,935.452
3285,241.49,3.4226085,product,JIV-01-05zg2d,25,899.482
3315,250.263,3.4226085,product,JIV-01-05zg2d,25,934.597
3345,250.921,3.4226085,product,JIV-01-05zg2d,25,894.606
3375,253.917,3.4226085,product,JIV-01-05zg2d,25,949.824
3405,253.194,3.4226085,product,JIV-01-05zg2d,25,938.526
3435,245.078,3.4226085,product,JIV-01-05zg2d,25,921.983
3465,246.337,3.4226085,product,JIV-01-05zg2d,25,929.253
3495,238.433,3.4226085,product,JIV-01-05zg2d,25,906.063
3525,240.66,3.4226085,product,JIV-01-05zg2d,25,904.689
3555,234.2,3.4226085,product,JIV-01-05zg2d,25,950.387
3585,239.792,3.4226085,product,JIV-01-05zg2d,25,925.646
3615,240.259,3.4226085,product,JIV-01-05zg2d,25,867.596
3645,245.49,3.4226085,product,JIV-01-05zg2d,25,916.195
3675,234.008,3.4226085,product,JIV-01-05zg2d,25,930.821
3705,235.654,3.4226085,product,JIV-01-05zg2d,25,898.075
135,449.181,3.803036,SM_B,JIV-01-05zg2d,25,1000.64
165,433.589,3.803036,SM_B,JIV-01-05zg2d,25,946.213
195,425.982,3.803036,SM_B,JIV-01-05zg2d,25,927.181
225,414.042,3.803036,SM_B,JIV-01-05zg2d,25,977.316
255,405.789,3.803036,SM_B,JIV-01-05zg2d,25,938.872
285,395.784,3.803036,SM_B,JIV-01-05zg2d,25,947.744
315,389.241,3.803036,SM_B,JIV-01-05zg2d,25,935.153
345,382.248,3.803036,SM_B,JIV-01-05zg2d,25,956.691
375,370.376,3.803036,SM_B,JIV-01-05zg2d,25,927.71
405,364.283,3.803036,SM_B,JIV-01-05zg2d,25,898.997
435,356.954,3.803036,SM_B,JIV-01-05zg2d,25,949.244
465,346.976,3.803036,SM_B,JIV-01-05zg2d,25,911.056
495,339.677,3.803036,SM_B,JIV-01-05zg2d,25,940.211
525,331.386,3.803036,SM_B,JIV-01-05zg2d,25,910.76
555,320.653,3.803036,SM_B,JIV-01-05zg2d,25,917.023
585,316.465,3.803036,SM_B,JIV-01-05zg2d,25,924.143
615,310.528,3.803036,SM_B,JIV-01-05zg2d,25,917.468
645,301.693,3.803036,SM_B,JIV-01-05zg2d,25,898.343
675,295.286,3.803036,SM_B,JIV-01-05zg2d,25,936.855
705,289.217,3.803036,SM_B,JIV-01-05zg2d,25,895.976
735,284.226,3.803036,SM_B,JIV-01-05zg2d,25,925.282
765,276.422,3.803036,SM_B,JIV-01-05zg2d,25,929.872
795,269.609,3.803036,SM_B,JIV-01-05zg2d,25,951.949
825,263.464,3.803036,SM_B,JIV-01-05zg2d,25,911.715
855,260.684,3.803036,SM_B,JIV-01-05zg2d,25,970.048
885,256.265,3.803036,SM_B,JIV-01-05zg2d,25,923.906
915,246.816,3.803036,SM_B,JIV-01-05zg2d,25,921.989
945,244.403,3.803036,SM_B,JIV-01-05zg2d,25,934.553
975,238.433,3.803036,SM_B,JIV-01-05zg2d,25,944.673
1005,231.936,3.803036,SM_B,JIV-01-05zg2d,25,892.919
1035,227.557,3.803036,SM_B,JIV-01-05zg2d,25,920.133
1065,223.288,3.803036,SM_B,JIV-01-05zg2d,25,924.957
1095,218.17,3.803036,SM_B,JIV-01-05zg2d,25,929.96
1125,212.895,3.803036,SM_B,JIV-01-05zg2d,25,951.474
1155,209.199,3.803036,SM_B,JIV-01-05zg2d,25,927.247
1185,206.073,3.803036,SM_B,JIV-01-05zg2d,25,928.166
1215,198.909,3.803036,SM_B,JIV-01-05zg2d,25,875.587
1245,194.366,3.803036,SM_B,JIV-01-05zg2d,25,905.519
1275,192.802,3.803036,SM_B,JIV-01-05zg2d,25,938.035
1305,184.55,3.803036,SM_B,JIV-01-05zg2d,25,935.575
1335,182.965,3.803036,SM_B,JIV-01-05zg2d,25,924.799
1365,178.46,3.803036,SM_B,JIV-01-05zg2d,25,925.617
1395,176.067,3.803036,SM_B,JIV-01-05zg2d,25,913.134
1425,172.529,3.803036,SM_B,JIV-01-05zg2d,25,923.826
1455,170.111,3.803036,SM_B,JIV-01-05zg2d,25,928.959
1485,165.225,3.803036,SM_B,JIV-01-05zg2d,25,895.995
1515,159.66,3.803036,SM_B,JIV-01-05zg2d,25,866.579
1545,157.014,3.803036,SM_B,JIV-01-05zg2d,25,931.473
1575,153.213,3.803036,SM_B,JIV-01-05zg2d,25,926.39
1605,151.603,3.803036,SM_B,JIV-01-05zg2d,25,883.949
1635,149.501,3.803036,SM_B,JIV-01-05zg2d,25,937.547
1665,143.407,3.803036,SM_B,JIV-01-05zg2d,25,894.494
1695,141.2,3.803036,SM_B,JIV-01-05zg2d,25,953.991
1725,138.719,3.803036,SM_B,JIV-01-05zg2d,25,961.545
1755,140.484,3.803036,SM_B,JIV-01-05zg2d,25,904.606
1785,132.958,3.803036,SM_B,JIV-01-05zg2d,25,935.475
1815,132.124,3.803036,SM_B,JIV-01-05zg2d,25,911.41
1845,129.681,3.803036,SM_B,JIV-01-05zg2d,25,918.642
1875,125.377,3.803036,SM_B,JIV-01-05zg2d,25,888.978
1905,122.614,3.803036,SM_B,JIV-01-05zg2d,25,939.353
1935,123.178,3.803036,SM_B,JIV-01-05zg2d,25,902
1965,118.446,3.803036,SM_B,JIV-01-05zg2d,25,928.93
1995,116.346,3.803036,SM_B,JIV-01-05zg2d,25,910.628
2025,112.858,3.803036,SM_B,JIV-01-05zg2d,25,941.227
2055,112.894,3.803036,SM_B,JIV-01-05zg2d,25,959.675
2085,109.679,3.803036,SM_B,JIV-01-05zg2d,25,945.956
2115,111.363,3.803036,SM_B,JIV-01-05zg2d,25,910.936
2145,105.857,3.803036,SM_B,JIV-01-05zg2d,25,907.977
2175,102.011,3.803036,SM_B,JIV-01-05zg2d,25,947.495
2205,99.8771,3.803036,SM_B,JIV-01-05zg2d,25,898.814
2235,103.843,3.803036,SM_B,JIV-01-05zg2d,25,907.749
2265,98.8843,3.803036,SM_B,JIV-01-05zg2d,25,920.248
2295,96.4729,3.803036,SM_B,JIV-01-05zg2d,25,918.485
2325,94.1476,3.803036,SM_B,JIV-01-05zg2d,25,901.452
2355,93.89,3.803036,SM_B,JIV-01-05zg2d,25,919.779
2385,91.681,3.803036,SM_B,JIV-01-05zg2d,25,942.007
2415,92.8731,3.803036,SM_B,JIV-01-05zg2d,25,899.869
2445,89.3806,3.803036,SM_B,JIV-01-05zg2d,25,897.397
2475,87.887,3.803036,SM_B,JIV-01-05zg2d,25,927.59
2505,84.6777,3.803036,SM_B,JIV-01-05zg2d,25,936.926
2535,84.7877,3.803036,SM_B,JIV-01-05zg2d,25,882.512
2565,86.2456,3.803036,SM_B,JIV-01-05zg2d,25,921.494
2595,81.705,3.803036,SM_B,JIV-01-05zg2d,25,890.142
2625,80.0864,3.803036,SM_B,JIV-01-05zg2d,25,952.582
2655,80.4025,3.803036,SM_B,JIV-01-05zg2d,25,922.875
2685,76.9632,3.803036,SM_B,JIV-01-05zg2d,25,936.034
2715,78.4273,3.803036,SM_B,JIV-01-05zg2d,25,896.439
2745,76.5139,3.803036,SM_B,JIV-01-05zg2d,25,927.893
2775,76.5849,3.803036,SM_B,JIV-01-05zg2d,25,927.318
2805,72.8624,3.803036,SM_B,JIV-01-05zg2d,25,938.937
2835,72.5112,3.803036,SM_B,JIV-01-05zg2d,25,943.596
2865,71.0705,3.803036,SM_B,JIV-01-05zg2d,25,911.266
2895,68.8014,3.803036,SM_B,JIV-01-05zg2d,25,899.839
2925,70.2614,3.803036,SM_B,JIV-01-05zg2d,25,958.496
2955,68.7068,3.803036,SM_B,JIV-01-05zg2d,25,904.335
2985,69.1342,3.803036,SM_B,JIV-01-05zg2d,25,903.529
3015,65.2505,3.803036,SM_B,JIV-01-05zg2d,25,938.721
3045,68.2106,3.803036,SM_B,JIV-01-05zg2d,25,880.266
3075,64.2338,3.803036,SM_B,JIV-01-05zg2d,25,917.197
3105,61.5018,3.803036,SM_B,JIV-01-05zg2d,25,921.441
3135,63.8776,3.803036,SM_B,JIV-01-05zg2d,25,917.178
3165,61.9696,3.803036,SM_B,JIV-01-05zg2d,25,959.27
3195,59.7682,3.803036,SM_B,JIV-01-05zg2d,25,930.667
3225,61.5698,3.803036,SM_B,JIV-01-05zg2d,25,935.15
3255,59.2733,3.803036,SM_B,JIV-01-05zg2d,25,935.452
3285,58.9374,3.803036,SM_B,JIV-01-05zg2d,25,899.482
3315,58.3904,3.803036,SM_B,JIV-01-05zg2d,25,934.597
3345,57.4844,3.803036,SM_B,JIV-01-05zg2d,25,894.606
3375,58.5532,3.803036,SM_B,JIV-01-05zg2d,25,949.824
3405,56.3924,3.803036,SM_B,JIV-01-05zg2d,25,938.526
3435,55.3615,3.803036,SM_B,JIV-01-05zg2d,25,921.983
3465,55.9902,3.803036,SM_B,JIV-01-05zg2d,25,929.253
3495,52.5955,3.803036,SM_B,JIV-01-05zg2d,25,906.063
3525,51.2102,3.803036,SM_B,JIV-01-05zg2d,25,904.689
3555,52.8241,3.803036,SM_B,JIV-01-05zg2d,25,950.387
3585,50.6255,3.803036,SM_B,JIV-01-05zg2d,25,925.646
3615,48.5592,3.803036,SM_B,JIV-01-05zg2d,25,867.596
3645,52.6928,3.803036,SM_B,JIV-01-05zg2d,25,916.195
3675,48.1665,3.803036,SM_B,JIV-01-05zg2d,25,930.821
3705,48.9885,3.803036,SM_B,JIV-01-05zg2d,25,898.075
135,469.012,2.5926465,SM_A,JIV-01-05zg2d,25,1000.64
165,452.169,2.5926465,SM_A,JIV-01-05zg2d,25,946.213
195,449.828,2.5926465,SM_A,JIV-01-05zg2d,25,927.181
225,432.157,2.5926465,SM_A,JIV-01-05zg2d,25,977.316
255,426.947,2.5926465,SM_A,JIV-01-05zg2d,25,938.872
285,420.362,2.5926465,SM_A,JIV-01-05zg2d,25,947.744
315,413.954,2.5926465,SM_A,JIV-01-05zg2d,25,935.153
345,404.475,2.5926465,SM_A,JIV-01-05zg2d,25,956.691
375,391.158,2.5926465,SM_A,JIV-01-05zg2d,25,927.71
405,383.855,2.5926465,SM_A,JIV-01-05zg2d,25,898.997
435,376.537,2.5926465,SM_A,JIV-01-05zg2d,25,949.244
465,367.093,2.5926465,SM_A,JIV-01-05zg2d,25,911.056
495,356.711,2.5926465,SM_A,JIV-01-05zg2d,25,940.211
525,351.538,2.5926465,SM_A,JIV-01-05zg2d,25,910.76
555,334.738,2.5926465,SM_A,JIV-01-05zg2d,25,917.023
585,331.655,2.5926465,SM_A,JIV-01-05zg2d,25,924.143
615,332.507,2.5926465,SM_A,JIV-01-05zg2d,25,917.468
645,318.12,2.5926465,SM_A,JIV-01-05zg2d,25,898.343
675,310.029,2.5926465,SM_A,JIV-01-05zg2d,25,936.855
705,308.311,2.5926465,SM_A,JIV-01-05zg2d,25,895.976
735,300.341,2.5926465,SM_A,JIV-01-05zg2d,25,925.282
765,295.715,2.5926465,SM_A,JIV-01-05zg2d,25,929.872
795,277.795,2.5926465,SM_A,JIV-01-05zg2d,25,951.949
825,280.075,2.5926465,SM_A,JIV-01-05zg2d,25,911.715
855,276.379,2.5926465,SM_A,JIV-01-05zg2d,25,970.048
885,271.178,2.5926465,SM_A,JIV-01-05zg2d,25,923.906
915,258.51,2.5926465,SM_A,JIV-01-05zg2d,25,921.989
945,262.887,2.5926465,SM_A,JIV-01-05zg2d,25,934.553
975,256.049,2.5926465,SM_A,JIV-01-05zg2d,25,944.673
1005,247.218,2.5926465,SM_A,JIV-01-05zg2d,25,892.919
1035,247.246,2.5926465,SM_A,JIV-01-05zg2d,25,920.133
1065,243.801,2.5926465,SM_A,JIV-01-05zg2d,25,924.957
1095,232.487,2.5926465,SM_A,JIV-01-05zg2d,25,929.96
1125,226.153,2.5926465,SM_A,JIV-01-05zg2d,25,951.474
1155,223.774,2.5926465,SM_A,JIV-01-05zg2d,25,927.247
1185,225.597,2.5926465,SM_A,JIV-01-05zg2d,25,928.166
1215,216.246,2.5926465,SM_A,JIV-01-05zg2d,25,875.587
1245,210.542,2.5926465,SM_A,JIV-01-05zg2d,25,905.519
1275,204.23,2.5926465,SM_A,JIV-01-05zg2d,25,938.035
1305,182.812,2.5926465,SM_A,JIV-01-05zg2d,25,935.575
1335,192.554,2.5926465,SM_A,JIV-01-05zg2d,25,924.799
1365,186.479,2.5926465,SM_A,JIV-01-05zg2d,25,925.617
1395,190.481,2.5926465,SM_A,JIV-01-05zg2d,25,913.134
1425,182.2,2.5926465,SM_A,JIV-01-05zg2d,25,923.826
1455,180.847,2.5926465,SM_A,JIV-01-05zg2d,25,928.959
1485,179.179,2.5926465,SM_A,JIV-01-05zg2d,25,895.995
1515,173.924,2.5926465,SM_A,JIV-01-05zg2d,25,866.579
1545,161.964,2.5926465,SM_A,JIV-01-05zg2d,25,931.473
1575,159.358,2.5926465,SM_A,JIV-01-05zg2d,25,926.39
1605,166.142,2.5926465,SM_A,JIV-01-05zg2d,25,883.949
1635,156.712,2.5926465,SM_A,JIV-01-05zg2d,25,937.547
1665,154.198,2.5926465,SM_A,JIV-01-05zg2d,25,894.494
1695,138.773,2.5926465,SM_A,JIV-01-05zg2d,25,953.991
1725,139.754,2.5926465,SM_A,JIV-01-05zg2d,25,961.545
1755,156.237,2.5926465,SM_A,JIV-01-05zg2d,25,904.606
1785,136.197,2.5926465,SM_A,JIV-01-05zg2d,25,935.475
1815,144.407,2.5926465,SM_A,JIV-01-05zg2d,25,911.41
1845,140.595,2.5926465,SM_A,JIV-01-05zg2d,25,918.642
1875,139.91,2.5926465,SM_A,JIV-01-05zg2d,25,888.978
1905,124.774,2.5926465,SM_A,JIV-01-05zg2d,25,939.353
1935,136.777,2.5926465,SM_A,JIV-01-05zg2d,25,902
1965,118.702,2.5926465,SM_A,JIV-01-05zg2d,25,928.93
1995,125.962,2.5926465,SM_A,JIV-01-05zg2d,25,910.628
2025,114.253,2.5926465,SM_A,JIV-01-05zg2d,25,941.227
2055,108.651,2.5926465,SM_A,JIV-01-05zg2d,25,959.675
2085,113.954,2.5926465,SM_A,JIV-01-05zg2d,25,945.956
2115,119.819,2.5926465,SM_A,JIV-01-05zg2d,25,910.936
2145,114.076,2.5926465,SM_A,JIV-01-05zg2d,25,907.977
2175,96.791,2.5926465,SM_A,JIV-01-05zg2d,25,947.495
2205,103.998,2.5926465,SM_A,JIV-01-05zg2d,25,898.814
2235,111.012,2.5926465,SM_A,JIV-01-05zg2d,25,907.749
2265,103.339,2.5926465,SM_A,JIV-01-05zg2d,25,920.248
2295,95.7865,2.5926465,SM_A,JIV-01-05zg2d,25,918.485
2325,95.1087,2.5926465,SM_A,JIV-01-05zg2d,25,901.452
2355,93.6983,2.5926465,SM_A,JIV-01-05zg2d,25,919.779
2385,92.8767,2.5926465,SM_A,JIV-01-05zg2d,25,942.007
2415,98.1196,2.5926465,SM_A,JIV-01-05zg2d,25,899.869
2445,93.938,2.5926465,SM_A,JIV-01-05zg2d,25,897.397
2475,91.6362,2.5926465,SM_A,JIV-01-05zg2d,25,927.59
2505,85.4664,2.5926465,SM_A,JIV-01-05zg2d,25,936.926
2535,91.2642,2.5926465,SM_A,JIV-01-05zg2d,25,882.512
2565,89.3145,2.5926465,SM_A,JIV-01-05zg2d,25,921.494
2595,85.2597,2.5926465,SM_A,JIV-01-05zg2d,25,890.142
2625,72.4524,2.5926465,SM_A,JIV-01-05zg2d,25,952.582
2655,86.5685,2.5926465,SM_A,JIV-01-05zg2d,25,922.875
2685,73.7401,2.5926465,SM_A,JIV-01-05zg2d,25,936.034
2715,86.7585,2.5926465,SM_A,JIV-01-05zg2d,25,896.439
2745,81.1441,2.5926465,SM_A,JIV-01-05zg2d,25,927.893
2775,80.1528,2.5926465,SM_A,JIV-01-05zg2d,25,927.318
2805,69.8065,2.5926465,SM_A,JIV-01-05zg2d,25,938.937
2835,68.9517,2.5926465,SM_A,JIV-01-05zg2d,25,943.596
2865,78.1401,2.5926465,SM_A,JIV-01-05zg2d,25,911.266
2895,71.714,2.5926465,SM_A,JIV-01-05zg2d,25,899.839
2925,71.9489,2.5926465,SM_A,JIV-01-05zg2d,25,958.496
2955,74.2639,2.5926465,SM_A,JIV-01-05zg2d,25,904.335
2985,82.4536,2.5926465,SM_A,JIV-01-05zg2d,25,903.529
3015,57.6112,2.5926465,SM_A,JIV-01-05zg2d,25,938.721
3045,78.4141,2.5926465,SM_A,JIV-01-05zg2d,25,880.266
3075,66.2405,2.5926465,SM_A,JIV-01-05zg2d,25,917.197
3105,59.1408,2.5926465,SM_A,JIV-01-05zg2d,25,921.441
3135,63.5469,2.5926465,SM_A,JIV-01-05zg2d,25,917.178
3165,55.6378,2.5926465,SM_A,JIV-01-05zg2d,25,959.27
3195,61.6363,2.5926465,SM_A,JIV-01-05zg2d,25,930.667
3225,59.1795,2.5926465,SM_A,JIV-01-05zg2d,25,935.15
3255,52.5506,2.5926465,SM_A,JIV-01-05zg2d,25,935.452
3285,60.1919,2.5926465,SM_A,JIV-01-05zg2d,25,899.482
3315,59.0277,2.5926465,SM_A,JIV-01-05zg2d,25,934.597
3345,65.5732,2.5926465,SM_A,JIV-01-05zg2d,25,894.606
3375,59.5218,2.5926465,SM_A,JIV-01-05zg2d,25,949.824
3405,57.5872,2.5926465,SM_A,JIV-01-05zg2d,25,938.526
3435,57.729,2.5926465,SM_A,JIV-01-05zg2d,25,921.983
3465,57.2147,2.5926465,SM_A,JIV-01-05zg2d,25,929.253
3495,50.8404,2.5926465,SM_A,JIV-01-05zg2d,25,906.063
3525,47.4032,2.5926465,SM_A,JIV-01-05zg2d,25,904.689
3555,43.3731,2.5926465,SM_A,JIV-01-05zg2d,25,950.387
3585,48.3484,2.5926465,SM_A,JIV-01-05zg2d,25,925.646
3615,49.624,2.5926465,SM_A,JIV-01-05zg2d,25,867.596
3645,50.4196,2.5926465,SM_A,JIV-01-05zg2d,25,916.195
3675,41.7209,2.5926465,SM_A,JIV-01-05zg2d,25,930.821
3705,43.9797,2.5926465,SM_A,JIV-01-05zg2d,25,898.075